name,category,subcategory,price,discounted_price,status,product_type,stock_count,available_sizes,Brand,color,Origin,HS Code,Model,description,small_description,Tags,mfg,images
Cables & Wires - 35 sqmm 2C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",ABB,,India,8544,ABB-553B,,"Cables & Wires 35 sqmm 2C 1.1kV PVC cable by ABB from India for reliable, high-voltage electrical power distribution applications.",Cables & Wires,,1.png
Cables & Wires - 2.5 sqmm 3C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",ABB,,China,8544,ABB-454B,,This 2.5 sqmm 3-core XLPE cable provides reliable 750V power distribution. Its cross-linked polyethylene insulation offers superior heat resistance and durability.,Cables & Wires,,2.png
Cables & Wires - 16 sqmm 4C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",ABB,,Germany,8544,ABB-388C,,"High-performance ABB 16 sqmm 4-core LSZH cable, rated for 750V. German-engineered for safety, durability, and reliable electrical power distribution.",Cables & Wires,,3.png
Cables & Wires - 16 sqmm 2C 750V PVC,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",ABB,,China,8544,ABB-781B,,"Standard ABB 16 sqmm 2-core PVC insulated cable, 750V rated. Reliable Chinese manufacturing designed for efficient and durable electrical connectivity.",Cables & Wires,,4.png
Cables & Wires - 35 sqmm 1C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",ABB,,India,8544,ABB-388A,,"Heavy-duty 35 sqmm single-core XLPE cable from India. Rated at 1.1kV, offering superior thermal resistance for industrial power applications.",Cables & Wires,,5.png
Cables & Wires - 35 sqmm 1C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",ABB,,Japan,8544,ABB-958B,,"Premium 35 sqmm single-core LSZH cable from Japan. 1.1kV rated, providing maximum fire safety for critical high-voltage infrastructure projects.",Cables & Wires,,6.png
Cables & Wires - 16 sqmm 2C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",ABB,,Japan,8544,ABB-432A,,Japanese-engineered 16 sqmm 2-core XLPE cable. 1.1kV rating ensures enhanced heat resistance and electrical stability for demanding industrial environments.,Cables & Wires,,7.png
Cables & Wires - 4 sqmm 1C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",ABB,,Germany,8544,ABB-351B,,"Precision 4 sqmm single-core PVC cable from Germany. 1.1kV rated, offering reliable high-voltage performance for specialized electrical control systems.",Cables & Wires,,8.png
Cables & Wires - 6 sqmm 2C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",ABB,,Saudi Arabia,8544,ABB-410B,,"Durable 6 sqmm 2-core PVC cable, 1.1kV rated from Saudi Arabia. Ideal for robust general-purpose wiring in high-voltage environments.",Cables & Wires,,9.png
Cables & Wires - 6 sqmm 3C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",ABB,,Japan,8544,ABB-872X,,"Efficient 6 sqmm 3-core XLPE cable from Japan. 750V rated, balancing flexible installation with high-quality thermal and moisture resistance.",Cables & Wires,,10.png
Cables & Wires - 4 sqmm 4C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,kg,100,"1,2,3,4,5",ABB,,China,8544,ABB-540A,,"Compact 4 sqmm 4-core LSZH cable, 750V rated. China-produced, providing a safe, low-smoke solution for multi-circuit commercial power wiring.",Cables & Wires,,11.png
Cables & Wires - 1.5 sqmm 4C 750V PVC,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",ABB,,Saudi Arabia,8544,ABB-972B,,"Fine 1.5 sqmm 4-core PVC cable from Saudi Arabia. 750V rated, perfect for lighting circuits and low-power control applications.",Cables & Wires,,12.png
Cables & Wires - 6 sqmm 2C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",ABB,,UAE,8544,ABB-724A,,"Safety-focused 6 sqmm 2-core LSZH cable from UAE. 750V rated, specifically designed to minimize toxic smoke during fire emergencies.",Cables & Wires,,13.png
Cables & Wires - 10 sqmm 3C 750V PVC,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",ABB,,UAE,8544,ABB-955C,,"Reliable ABB 10 sqmm 3-core PVC cable from UAE. Rated 750V, designed for efficient power distribution in standard electrical installations.",Cables & Wires,,14.png
Cables & Wires - 1.5 sqmm 2C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,kg,100,"1,2,3,4,5",Hager,,Japan,8544,HAG-547A,,"Hager 1.5 sqmm 2-core LSZH cable, Japan-made. 750V rating ensures maximum safety with low-smoke emission for sensitive indoor environments.",Cables & Wires,,15.png
Cables & Wires - 2.5 sqmm 4C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",Hager,,China,8544,HAG-661A,,High-durability 2.5 sqmm 4-core XLPE cable by Hager China. Rated 1.1kV for superior heat resistance in industrial power applications.,Cables & Wires,,16.png
Cables & Wires - 10 sqmm 4C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Hager,,India,8544,HAG-594B,,Hager 10 sqmm 4-core XLPE cable from India. 750V rating provides excellent moisture resistance and long-term durability for outdoor use.,Cables & Wires,,17.png
Cables & Wires - 25 sqmm 4C 750V PVC,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Hager,,Saudi Arabia,8544,HAG-375A,,"Robust Hager 25 sqmm 4-core PVC cable, Saudi Arabia origin. 750V rated, ideal for heavy-duty residential and commercial wiring.",Cables & Wires,,18.png
Cables & Wires - 35 sqmm 3C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Hager,,UAE,8544,HAG-905A,,Premium Hager 35 sqmm 3-core LSZH cable from UAE. 1.1kV rated for high-capacity power and maximum fire safety compliance.,Cables & Wires,,19.png
Cables & Wires - 1.5 sqmm 4C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Hager,,Saudi Arabia,8544,HAG-350A,,"Hager 1.5 sqmm 4-core PVC cable, Saudi Arabia made. 1.1kV rated, offering reliable performance for multi-circuit control and lighting.",Cables & Wires,,20.png
Cables & Wires - 10 sqmm 3C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",Hager,,China,8544,HAG-219B,,Hager China 10 sqmm 3-core XLPE cable. 750V rating ensures thermal stability and reliable power delivery for industrial machinery.,Cables & Wires,,21.png
Cables & Wires - 6 sqmm 1C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",Hager,,Germany,8544,HAG-687X,,"Single-core 6 sqmm LSZH cable by Hager Germany. 1.1kV rated, providing high-voltage safety and zero-halogen protection for critical infrastructure.",Cables & Wires,,22.png
Cables & Wires - 16 sqmm 1C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Hager,,China,8544,HAG-623X,,"Hager China 16 sqmm single-core XLPE cable. 750V rated, designed for high-current capacity with excellent resistance to environmental stress.",Cables & Wires,,23.png
Cables & Wires - 25 sqmm 4C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,kg,100,"1,2,3,4,5",Hager,,Saudi Arabia,8544,HAG-181C,,Heavy-duty Hager 25 sqmm 4-core PVC cable from Saudi Arabia. 1.1kV rated for robust performance in high-voltage industrial networks.,Cables & Wires,,24.png
Cables & Wires - 1.5 sqmm 2C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Hager,,Germany,8544,HAG-491A,,"Hager Germany 1.5 sqmm 2-core LSZH cable. 1.1kV rated, combining high-voltage capability with essential low-smoke safety for buildings.",Cables & Wires,,25.png
Cables & Wires - 1.5 sqmm 2C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Legrand,,Saudi Arabia,8544,LEG-699B,,"Legrand Saudi Arabia 1.5 sqmm 2-core XLPE cable. 750V rated, offering superior insulation and heat resistance for specialized wiring.",Cables & Wires,,26.png
Cables & Wires - 2.5 sqmm 3C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Legrand,,UAE,8544,LEG-609C,,"Legrand UAE 2.5 sqmm 3-core XLPE cable. 750V rated, providing a flexible and thermally stable solution for electrical distribution.",Cables & Wires,,27.png
Cables & Wires - 35 sqmm 1C 750V PVC,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Legrand,,UAE,8544,LEG-801B,,"Legrand UAE 35 sqmm single-core PVC cable. 750V rated, engineered for high-capacity power transmission in standard industrial settings.",Cables & Wires,,28.png
